 Model , Animation , Concept-art , Painting , Photo , Averaged 
 Dreamlike Photoreal 2.0 ,28.24,27.6,27.59,27.99,27.86
 SDXL Refiner 0.9 ,28.45,27.66,27.67,27.46,27.8
 Realistic Vision ,28.22,27.53,27.56,27.75,27.77
 SDXL Base 0.9 ,28.42,27.63,27.6,27.29,27.73
 Deliberate ,28.13,27.46,27.45,27.62,27.67
 ChilloutMix ,27.92,27.29,27.32,27.61,27.54
 MajicMix Realistic ,27.88,27.19,27.22,27.64,27.48
 Openjourney ,27.85,27.18,27.25,27.53,27.45
 DeepFloyd-XL ,27.64,26.83,26.86,27.75,27.27
 Epic Diffusion ,27.57,26.96,27.03,27.49,27.26
 Stable Diffusion v2.0 ,27.48,26.89,26.86,27.46,27.17
 Stable Diffusion v1.4 ,27.26,26.61,26.66,27.27,26.95
 DALL·E 2 ,27.34,26.54,26.68,27.24,26.95
 Versatile Diffusion ,26.59,26.28,26.43,27.05,26.59
 CogView2 ,26.5,26.59,26.33,26.44,26.47
 VQGAN + CLIP ,26.44,26.53,26.47,26.12,26.39
 DALL·E mini ,26.1,25.56,25.56,26.12,25.83
 Latent Diffusion ,25.73,25.15,25.25,26.97,25.78
 FuseDream ,25.26,25.15,25.13,25.57,25.28
 VQ-Diffusion ,24.97,24.7,25.01,25.71,25.1
 LAFITE ,24.63,24.38,24.43,25.81,24.81
 GLIDE ,23.34,23.08,23.27,24.5,23.55
