 Dataset , Source , Lang , Emo , Spk , #Utts , #Hrs 
 AESDD , Act , Greek , 5 , 5 ,604,0.7
 ASED , Act , Amharic , 5 , 65 ,2474,2.1
 ASVP-ESD , Media , Mix , 12 , 131 ,13964,18.0
 CaFE , Act , French , 7 , 12 ,936,1.2
 CASIA , Act , Mandarin , 6 , 4 ,1200,0.6
 CREMA-D , Act , English , 6 , 91 ,7442,5.3
 EMNS , Act , English , 8 , 1 ,1181,1.9
 EmoDB , Act , German , 7 , 10 ,535,0.4
 EmoV-DB , Act , English , 5 , 4 ,6887,9.5
 EMOVO , Act , Italian , 7 , 6 ,588,0.5
 Emozionalmente , Act , Italian , 7 , 431 ,6902,6.3
 eNTERFACE , Act , English , 6 , 44 ,1263,1.1
 ESD , Act , Mix , 5 , 20 ,35000,29.1
 IEMOCAP , Act , English , 5 , 10 ,5531,7.0
 JL-Corpus , Act , English , 5 , 4 ,2400,1.4
 M3ED , TV , Mandarin , 7 , 626 ,24437,9.8
 MEAD , Act , English , 8 , 48 ,31729,37.3
 MELD , TV , English , 7 , 304 ,13706,12.1
 MER2023 , TV , Mandarin , 6 , / ,5030,5.9
 MESD , Act , Spanish , 6 , 11 ,862,0.2
 MSP-Podcast , Podcast , English , 8 , 1273 ,73042,113.6
 Oreau , Act , French , 7 , 32 ,434,0.3
 PAVOQUE , Act , German , 5 , 1 ,7334,12.2
 Polish , Act , Polish , 3 , 5 ,450,0.1
 RAVDESS , Act , English , 8 , 24 ,1440,1.5
 RESD , Act , Russian , 7 , 200 ,1396,2.3
 SAVEE , Act , English , 7 , 4 ,480,0.5
 ShEMO , Act , Persian , 6 , 87 ,2838,3.3
 SUBESCO , Act , Bangla , 7 , 20 ,7000,7.8
 TESS , Act , English , 7 , 2 ,2800,1.6
 TurEV-DB , Act , Turkish , 4 , 6 ,1735,0.5
 URDU , Talk show , Urdu , 4 , 29 ,400,0.3
 Total , -- , -- , -- , 3510 ,262020,294.4
