 Category , Benchmark (Metric) , Mit-ThinkDeeply-0.5B , Mit-ThinkDeeply-1.5B , Mit-ThinkDeeply-3B , Mit-ThinkDeeply-7B 
, Context Length , 32K , 32K , 32K , 128K 
, Generation Length , 8K , 8K , 8K , 8K 
 General , MMLU , 45.4 , 58.9 , 63.8 , 72.6 
, MMLU-pro , 13.8 , 26.6 , 33.0 , 43.7 
, MMLU-redux , 43.1 , 56.8 , 62.7 , 70.3 
, BBH , 18.3 , 41.7 , 64.9 , 68.1 
, ARC-C , 32.9 , 56.0 , 57.5 , 65.8 
 Code , LiveCodeBench , 11.5 , 21.4 , 25.9 , 36.2 
, HumanEval , 25.4 , 44.6 , 51.6 , 69.5 
, HumanEval+ , 29.7 , 38.1 , 43.9 , 60.7 
, MBPP , 46.3 , 74.2 , 69.9 , 82.9 
, MBPP+ , 36.8 , 59.5 , 59.3 , 70.2 
, MultiPL-E , 24.9 , 51.7 , 49.6 , 58.1 
 Mathematics , GPQA , 25.1 , 29.0 , 31.5 , 40.7 
, Theoremqa , 18.2 , 23.2 , 27.9 , 39.4 
, MATH , 25.4 , 38.1 , 46.7 , 54.8 
, MATH-500 , 62.5 , 79.2 , 88.4 , 94.6 
, MMLU-stem , 43.3 , 65.8 , 75.1 , 81.3 
, GSM8K , 45.8 , 70.1 , 81.5 , 86.2 
